primary_county,credentials,credentials-other,license,volunteer_county
"	Orange",LPN,,Active,"Alamance,	Durham,	Orange,	Person,	Wake"
"	Buncombe",RN,,Active,"	Buncombe,	Haywood,	Henderson"
"	Forsyth",NP,,Active,"	Forsyth"
Alamance,LPN,,Active,Alamance
"	Wake","Other, please specify:",RN license active,Active,"	Wake"
"	Greene",RN,,Active,"	Greene"
"	Wake",RN,,Active,"	Wake"
"	Guilford","Other, please specify:",MSN,Active,"Alamance,	Guilford"
"	Catawba",RN,,Active,"	Burke,	Catawba,	Iredell,	Mecklenburg"
"	Cleveland",RN,,Active,"	Cleveland,	Rutherford"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	New Hanover",RN,,Active,"	Brunswick,	Columbus,	New Hanover"
"	Wake",LPN,,Active,"	Johnston,	Wake"
Alamance,LPN,,Active,"Alamance,	Caswell,	Chatham,	Guilford,	Orange"
"	Cumberland",RN,,Active,"	Cumberland,	Harnett,	Hoke"
"	Wake",RN,,Active,"	Durham,	Granville,	Wake"
"	Orange",RN,,Active,"Alamance,	Orange"
"	Durham",RN,,Active,"	Durham"
Alamance,RN,,Active,"Alamance,	Guilford"
"	Cumberland",LPN,,Active,"	Cumberland,	Scotland"
"	Davie",LPN,,Active,"	Davie"
"	Guilford",,,Active,"	Guilford"
"	Harnett",RN,,Active,"	Chatham,	Cumberland,	Harnett,	Johnston,	Lee,	Moore,	Wake,	Wayne,	Wilson"
"	New Hanover",RN,,Active,"	Brunswick,	New Hanover,	Pender"
"	Carteret",NP,,Active,"	Carteret,	Craven,	Lenoir,	Onslow"
"	Cabarrus",RN,,Active,"	Cabarrus,	Gaston,	Mecklenburg,	Rowan"
"	Burke",RN,,Active,"	Burke,	Caldwell,	Catawba,	Cleveland,	McDowell,	Mitchell,	Rutherford,	Watauga,	Yancey"
"	Warren",RN,,Active,"	Craven,	Lenoir,	Warren"
"	Franklin",RN,,Active,"	Franklin,	Granville,	Wake"
"	Wake",NP,,Active,"	Wake"
"	Brunswick",RN,,Active,"	Brunswick,	Columbus"
"	Wake","Other, please specify:","RN license active, retired from UNCRex Healthcare 12/2020",Active,"	Wake"
"	Union",RN,,Active,"	Mecklenburg,	Union"
"	Gaston",RN,,Active,"	Gaston,	Lincoln"
"	Cleveland",RN,,Active,"	Cleveland"
"	Wake",RN,,Active,"	Chatham,	Johnston,	Wake"
"	Harnett",NP,,Active,"	Cumberland,	Harnett,	Johnston,	Sampson,	Wake"
"	Guilford",LPN,,Active,"	Guilford"
"	Mecklenburg",LPN,,Active,"	Mecklenburg"
"	Wake",NP,,Active,"	Durham,	Wake"
"	Nash","Other, please specify:",CRNA,Active,"	Halifax,	Nash,	Pitt,	Wilson"
"	Wake",RN,,Active,"	Wake"
"	Wake",RN,,Active,"	Franklin,	Wake"
"	Iredell",LPN,,Active,"	Iredell,	Rowan"
"	Carteret",LPN,,Active,"	Carteret,	Craven"
"	Craven",LPN,,Active,"	Carteret,	Craven"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Onslow",RN,,Active,"	Carteret,	Onslow"
"	Montgomery",RN,,Active,"	Montgomery,	Moore"
"	Durham",RN,,Active,"	Durham,	Orange"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Rowan",LPN,,Active,"	Davidson,	Rowan"
"	Durham","Other, please specify:",FNP-c,Active,"	Durham,	Orange,	Wake"
"	Union",RN,,Active,"	Anson,	Brunswick,	Caldwell,	Catawba,	Gaston,	Lincoln,	Mecklenburg,	Union,	Wake"
"	Nash",RN,,Active,"	Edgecombe,	Nash,	Wilson"
"	Durham",RN,,Active,"	Durham"
"	Rowan",RN,,Active,"	Cabarrus,	Davidson,	Davie,	Iredell,	Mecklenburg,	Rowan,	Union"
"	Chatham",NP,,Active,"Alamance,	Chatham,	Guilford"
"	Harnett",RN,,Active,"	Chatham,	Cumberland,	Harnett,	Lee,	Moore,	Orange,	Wake"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Catawba,	Iredell,	Lincoln,	Mecklenburg"
"	Brunswick",RN,,Active,"	Brunswick"
"	Buncombe",RN,,Active,"	Buncombe"
"	Franklin",RN,,Active,"	Duplin,	Durham,	Edgecombe,	Franklin,	Granville,	Greene,	Halifax,	Johnston,	Lenoir,	Nash,	Sampson,	Vance,	Wake,	Warren,	Wayne,	Wilson"
"	Wilson",RN,,Active,"	Greene,	Harnett,	Pitt,	Wayne,	Wilson"
"	Lenoir",RN,,Active,"	Craven,	Lenoir,	Pitt,	Wayne"
"	Wake",RN,,Active,"	Johnston,	Wake"
"	Henderson",RN,,Active,"	Polk,	Transylvania"
"	New Hanover",RN,,Active,"	New Hanover"
"	Harnett",RN,,Active,"	Harnett,	Johnston,	Lee,	Wake"
"	Haywood",RN,,Active,"	Buncombe,	Haywood"
"	Yadkin",RN,,Active,"	Alleghany,	Iredell,	Surry,	Wilkes,	Yadkin"
"	Wake",RN,,Active,"	Durham,	Johnston,	Wake"
"	Guilford",RN,,Active,"	Guilford"
"	Henderson",RN,,Active,"	Buncombe,	Henderson,	Transylvania"
"	Burke",RN,,Active,"	Burke,	Caldwell,	Catawba,	Lincoln,	McDowell,	Mecklenburg"
"	Union",RN,,Active,"	Mecklenburg,	Union"
"	Cleveland",RN,,Active,"	Cleveland,	Gaston,	Lincoln,	Mecklenburg,	Rutherford"
"	Cumberland",LPN,,Active,"	Cumberland,	Hoke"
"	Caldwell",RN,,Active,"	Caldwell"
"	Orange","Other, please specify:",Long Term Disability,Active,"	Orange"
"	Brunswick",LPN,,Active,"	Brunswick,	Columbus"
"	Union",RN,,Active,"	Anson,	Cabarrus,	Mecklenburg,	Stanly,	Union"
"	Orange",LPN,,Active,"	Orange"
"	Wake",RN,,Active,"	Caswell,	Chatham,	Cumberland,	Duplin,	Durham,	Edgecombe,	Franklin,	Granville,	Halifax,	Harnett,	Johnston,	Moore,	Nash,	Orange,	Pender,	Person,	Pitt,	Sampson,	Vance,	Wake,	Wayne"
"	Rowan",RN,,Active,"	Davidson,	Randolph,	Rowan,	Stanly"
"	Orange",RN,,Active,"Alamance,	Durham,	Orange,	Person"
"	Watauga",LPN,,Active,"	Ashe,	Avery,	Caldwell,	Watauga,	Wilkes"
"	Person","Other, please specify:",FNP student & Registered nurse,Active,"Alamance,	Durham,	Granville,	Orange,	Person"
"	Wake",RN,,Active,"	Durham,	Franklin,	Wake"
"	Jackson","Other, please specify:",I am currently a LPN and graduate RN,Active,"	Jackson"
"	Wilson",LPN,,Active,"	Cumberland,	Johnston,	Nash,	Pitt,	Wake,	Wilson"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Union"
"	Rowan",RN,,Active,"	Rowan"
Yancey,RN,,Active,"	Mitchell,	Yancey"
"	Catawba",RN,,Active,"	Alexander,	Caldwell,	Catawba,	Gaston,	Iredell,	Lincoln,	Mecklenburg,	Watauga"
"	Madison",RN,,Active,"	Buncombe,	Madison,	Yancey"
"	New Hanover",Retired,,Inactive,"	New Hanover"
"	Catawba",LPN,,Active,"	Catawba"
"	Onslow",RN,,Active,"	Lenoir,	New Hanover,	Onslow,	Pender"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Haywood",RN,,Active,"	Buncombe,	Haywood"
"	New Hanover",RN,,Active,"	Brunswick,	New Hanover,	Pender"
"	Haywood",RN,,Active,"	Haywood"
"	Wake",,,Active,"	Johnston,	New Hanover,	Orange,	Wake"
"	Cabarrus",NP,,,"	Cabarrus,	Mecklenburg"
"	Granville",RN,,Active,"	Franklin,	Granville,	Wake"
"	Sampson",LPN,,Active,"	Sampson"
"	Johnston",RN,,Active,"	Johnston"
"	New Hanover",RN,,Active,"	Beaufort,	Brunswick,	Edgecombe,	Nash,	New Hanover,	Pender,	Pitt"
"	Rockingham",RN,,Active,"	Caswell,	Forsyth,	Guilford,	Rockingham"
"	Yadkin",LPN,,Active,"	Davidson,	Davie,	Forsyth,	Surry,	Wilkes,	Yadkin"
"	Nash",RN,,Active,"	Nash"
"	Harnett",RN,,Active,"	Cumberland,	Harnett"
"	Nash",RN,,Active,"	Nash"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Wayne","Other, please specify:",BS-HSM,Active,"	Duplin,	Greene,	Wayne,	Wilson"
"	Buncombe",RN,,Active,"	Haywood,	Henderson"
"	Forsyth","Other, please specify:",BSN,Active,"	Forsyth,	Guilford,	Rockingham"
"	Clay",RN,,Active,"	Cherokee,	Clay,	Macon,	Swain"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Union"
"	Craven",LPN,,Active,"	Craven"
"	Craven",Retired,,Active,"	Carteret,	Craven"
"	Buncombe",RN,,Active,"	Buncombe"
"	Davie","Other, please specify:",CRNA ,Active,"	Davidson,	Davie,	Forsyth,	Yadkin"
"	Orange",NP,,Active,"Alamance,	Durham,	Forsyth,	Guilford,	Orange,	Wake"
"	Stokes",LPN,,Active,"	Beaufort,	Carteret,	Craven,	Guilford,	Rockingham,	Stokes"
"	Currituck",RN,,Active,"	Currituck"
"	Stokes",LPN,,Active,"	Beaufort,	Carteret,	Craven,	Forsyth,	Guilford,	Rockingham,	Stokes"
"	Ashe",LPN,,Active,"	Ashe"
"	Stanly",RN,,Active,"	Stanly"
"	Forsyth",RN,,Active,"	Davidson,	Forsyth,	Guilford"
"	Wake",RN,,Active,"	Durham,	Harnett,	Johnston,	Orange"
"	Johnston",RN,,Active,"	Johnston,	Wake"
"	Union",RN,,,"	Mecklenburg,	Union"
"	Wake",Retired,,Inactive,"	Franklin,	Wake"
"	New Hanover",Retired,,Inactive,"	New Hanover"
"	Union",RN,,Active,"	Union"
"	Mecklenburg","Other, please specify:",Volunteer,,"	Mecklenburg"
"	Iredell",RN,,Active,"	Forsyth,	Iredell"
"	Harnett",RN,,Active,"	Harnett"
"	Union",RN,,Active,"	Mecklenburg,	Union"
"	Stanly","Other, please specify:",RN,Active,"	Stanly"
"	Yadkin",LPN,,Active,"	Davie,	Forsyth,	Surry,	Yadkin"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Cabarrus",RN,,Active,"	Cabarrus,	Gaston,	Iredell,	Mecklenburg,	Union"
"	Surry","Other, please specify:",NP,Active,"	Surry,	Wilkes"
"	Cabarrus",RN,,Active,"	Cherokee,	Clay"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Randolph",LPN,,Active,"	Randolph"
"	Orange",LPN,,Active,"Alamance,	Durham,	Graham,	Guilford,	Orange,	Person,	Randolph,	Wake"
"	Mecklenburg",NP,,Active,"	Mecklenburg,	Union"
"	Mecklenburg",LPN,,Active,"	Mecklenburg"
"	Moore",NP,,Active,"	Moore"
"	Clay",NP,,Active,"	Cherokee,	Clay"
"	Wilson",RN,,Active,"	Dare,	Edgecombe,	Greene,	Hyde,	Johnston,	Lenoir,	Nash,	New Hanover,	Orange,	Pitt,	Tyrrell,	Wake,	Wayne,	Wilson"
"	Wake",RN,,Active,"	Durham,	Orange,	Wake"
"	Durham",RN,,Active,"	Durham,	Orange"
"	Union",NP,,Active,"	Gaston,	Mecklenburg"
"	Wake",RN,,Active,"	Franklin,	Johnston,	Wake"
"	Orange",RN,,Active,"Alamance,	Orange"
"	Durham",LPN,,Active,"	Durham"
"	Halifax",RN,,Active,"	Halifax,	Northampton,	Warren"
"	Person",LPN,,Active,"	Durham,	Granville,	Person"
"	Buncombe",RN,,Active,"	Buncombe,	Haywood,	Henderson"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Halifax",RN,,Active,"	Halifax,	Northampton,	Warren"
"	Ashe",RN,,Active,"	Ashe,	Watauga"
"	Carteret",Retired,,,"	Beaufort,	Carteret,	Craven,	Jones,	Lenoir,	Onslow"
"	Onslow","Other, please specify:",Retired RN,Inactive,"	Onslow"
"	Guilford",RN,,Active,"	Guilford"
"	Buncombe",Retired,,,"	Buncombe,	Henderson,	McDowell,	Madison"
"	Catawba",RN,,Active,"	Alexander,	Burke,	Caldwell,	Catawba,	Iredell"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Mecklenburg",RN,,Active,"	Gaston,	Mecklenburg"
"	Greene",NP,,Active,"	Carteret,	Greene,	Lenoir"
"	Durham",LPN,,Active,"	Durham,	Franklin,	Granville,	Henderson,	Orange,	Warren"
"	Wake","Other, please specify:",Not licensed in North Carolina but active RN license in Indiana,Active,"	Chatham,	Durham,	Onslow,	Pender,	Wake"
"	Wake",RN,,Active,"	Durham,	Johnston,	Wake,	Wilkes"
"	Wake",RN,,Active,"	Chatham,	Harnett,	Johnston,	Lee,	Wake"
"	Brunswick",NP,,Active,"	Brunswick"
"	Gates","Other, please specify:",RN Student (final semester),,"	Camden,	Chowan,	Gates,	Hertford,	Pasquotank"
"	Franklin",RN,,Active,"	Franklin"
"	Wake",RN,,Active,"	Durham,	Granville,	Harnett,	Johnston,	Orange,	Person,	Wake"
"	Onslow",LPN,,Active,"	Carteret,	Craven,	Duplin,	Jones,	Lenoir,	New Hanover,	Onslow,	Pender,	Pitt"
"	Wake",NP,,Active,"	Durham,	Orange,	Wake"
"	Wake",RN,,Active,"	Johnston,	Orange,	Wake"
Alamance,NP,,Active,"Alamance,	Guilford"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Montgomery"
"	Forsyth",RN,,Active,"	Davie,	Forsyth,	Stokes,	Surry,	Yadkin"
"	Cleveland",NP,,Active,"	Cleveland,	Rutherford"
"	Buncombe",RN,,Active,"	Buncombe,	Haywood,	Henderson,	Madison"
"	Cleveland",LPN,,Active,"	Cleveland,	Gaston"
"	Rockingham",RN,,Active,"	Rockingham"
"	Wake",LPN,,Active,"	Durham,	Johnston,	Wake"
"	Davidson",RN,,Active,"	Brunswick,	Davidson,	Forsyth"
"	Martin",RN,,Active,"	Martin"
"	Gaston",NP,,Active,"	Catawba,	Gaston,	Lincoln,	Mecklenburg"
"	Johnston",RN,,,"	Harnett,	Johnston,	Wake"
"	Durham",RN,,Active,"Alamance,	Chatham,	Cumberland,	Duplin,	Edgecombe,	Forsyth,	Franklin,	Granville,	Guilford,	Harnett,	Johnston,	Lee,	Nash,	Orange,	Person,	Sampson,	Vance,	Wake,	Warren,	Wayne,	Wilson"
"	Wake",NP,,Active,"	Johnston,	Nash,	Wake,	Wilson"
"	Cumberland",RN,,Active,"	Cumberland"
"	Henderson","Other, please specify:","Retired ICU,PACU",Active,"	Buncombe,	Haywood,	Henderson,	Mitchell,	Transylvania,	Yancey"
"	Wake",RN,,Active,"	Carteret,	Durham,	Franklin,	Granville,	Harnett,	Johnston,	Nash,	New Hanover,	Orange,	Vance,	Wake"
"	Carteret",RN,,Active,"	Carteret,	Onslow"
"	Pender","Other, please specify:",Rn no license retired,Inactive,"	New Hanover,	Onslow,	Pender"
"	Mecklenburg",LPN,,Active,"	Mecklenburg"
"	Rowan",RN,,Active,"	Davie,	Forsyth,	Iredell,	Rowan"
"	Wake",RN,,Active,"	Wake"
"	Wake",RN,,Active,"	Nash,	Wake"
"	Wake",RN,,Active,"	Wake"
"	Randolph",RN,,Active,"Alamance,	Davidson,	Forsyth,	Guilford,	Randolph,	Rowan,	Wake"
"	Pitt",RN,,Active,"	Pitt"
"	Wake",RN,,Active,"	Wake"
"	Forsyth",RN,,Active,"	Davidson,	Davie,	Forsyth,	Yadkin"
"	Buncombe",RN,,Active,"	Buncombe"
"	Iredell",RN,,Active,"	Iredell,	Mecklenburg"
"	Randolph",Retired,,Inactive,"Alamance,	Guilford,	Randolph"
"	Moore",RN,,Active,"	Lee,	Moore"
"	New Hanover",RN,,Active,"	Brunswick,	Nash,	New Hanover,	Pamlico,	Pender,	Wake"
"	New Hanover",RN,,Active,"	Brunswick,	Nash,	New Hanover,	Pamlico,	Pender,	Wake"
"	Wake",RN,,Active,"	Johnston,	Wake"
"	Wake",RN,,Active,"Alamance,	Brunswick,	Durham,	Forsyth,	Pitt,	Wake"
"	Guilford",RN,,,"	Guilford"
"	Wake",RN,,Active,"Alamance,	Chatham,	Franklin,	Harnett,	Johnston,	Lee,	Nash,	Wilson"
"	Guilford",RN,,Active,"	Davidson,	Forsyth,	Guilford,	Rockingham,	Stokes"
"	Johnston",RN,,Active,"	Granville,	Johnston,	Pitt,	Wake"
"	Catawba",RN,,Active,"	Catawba"
"	Bladen",NP,,Active,"	Bladen,	Brunswick,	Columbus,	Cumberland,	Robeson"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Stanly"
"	New Hanover",RN,,Active,"	Brunswick,	New Hanover"
"	Caldwell",RN,,Active,"	Caldwell,	Catawba"
"	New Hanover",RN,,Active,"	New Hanover"
"	Wake",RN,,Active,"	Johnston,	Wake"
"	Forsyth",RN,,Active,"	Forsyth"
"	Columbus","Other, please specify:",RN,Active,"	Columbus"
"	Wake",RN,,Active,"	Wake"
"	Ashe",RN,,Active,"	Ashe"
"	Buncombe",RN,,Active,"	Buncombe,	Transylvania"
"	Yadkin",LPN,,Active,"	Yadkin"
"	Buncombe",RN,,Active,"	Haywood,	Henderson,	McDowell,	Madison"
"	Orange",NP,,Active,"	Orange"
"	Davidson",RN,,Active,"	Davidson,	Davie,	Forsyth,	Guilford,	Iredell,	Mecklenburg,	New Hanover,	Rowan,	Stokes,	Surry,	Wake"
"	Durham",RN,,Active,"	Durham,	Orange,	Wake"
"	Orange",RN,,Active,"	Orange"
"	Iredell",RN,,Active,"	Iredell"
"	Pitt",RN,,Active,"	Craven,	Greene,	Pitt"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Mecklenburg"
"	Buncombe",RN,,Active,"	Alexander,	Alleghany,	Avery,	Buncombe,	Burke,	Catawba,	Cherokee,	Clay,	Cleveland,	Gaston,	Graham,	Haywood,	Henderson,	Jackson,	Lincoln,	McDowell,	Macon,	Madison,	Mitchell,	Polk,	Rutherford,	Swain,	Transylvania,	Wilkes,	Yancey"
"	Mecklenburg","Other, please specify:",LPN,Inactive,"	Cabarrus,	Cleveland,	Davidson,	Gaston,	Iredell,	Lincoln,	Mecklenburg"
"	Forsyth",RN,,Active,"	Catawba,	Davidson,	Davie,	Forsyth,	Mecklenburg,	Rockingham,	Stokes,	Surry,	Yadkin"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Hoke",RN,,Active,"	Cumberland,	Harnett,	Hoke,	Johnston,	Wake"
"	Craven",RN,,,"	Carteret,	Craven,	Pamlico"
"	Durham",RN,,Active,"	Chatham,	Durham,	Orange,	Wake"
"	Durham",RN,,Active,"	Durham"
"	Guilford",RN,,Active,"	Alleghany,	Currituck,	Dare,	Forsyth,	Guilford,	Hyde"
"	Wake",RN,,Active,"	Wake"
Alamance,RN,,Active,Alamance
"	Cherokee","Other, please specify:",MSN unemployed ,,"	Cherokee,	Clay"
"	Surry",RN,,Active,"	Surry"
"	Wake",,,Active,"	Chatham,	Harnett,	Johnston,	Orange,	Wake"
"	New Hanover",RN,,Active,"	New Hanover,	Pender"
"	Chatham",RN,,Active,"	Chatham,	Lee"
"	Pender",RN,,Active,"	Brunswick,	Duplin,	New Hanover,	Onslow,	Pender"
"	Wake",RN,,Active,"	Franklin,	Granville,	Wake"
"	Nash",RN,,Active,"	Edgecombe,	Nash"
"	Buncombe",RN,,Active,"	Buncombe,	Burke,	Cleveland,	Jackson,	McDowell,	Madison,	Mitchell,	Rutherford,	Transylvania,	Yancey"
"	Rockingham",LPN,,Active,"	Rockingham"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Mecklenburg",RN,,Active,"	Gaston,	Mecklenburg,	Union"
"	Carteret",RN,,Active,"	Carteret"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Guilford",NP,,Active,"	Carteret,	Forsyth,	Guilford,	Rockingham"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	New Hanover",RN,,Active,"	Brunswick,	New Hanover"
"	Wake",RN,,Active,"	Wake"
"	Union",NP,,Active,"	Mecklenburg,	Union"
"	Mecklenburg",LPN,,Active,"	Gaston,	Mecklenburg,	Union"
"	Wake",RN,,Active,"	Harnett,	Johnston,	Lee,	Wake"
"	Durham",NP,,Active,"Alamance,	Durham,	Guilford,	Orange,	Wake"
"	Surry","Other, please specify:",Retired April 2020,Active,"	Surry,	Yadkin"
"	Catawba",RN,,Active,"	Catawba,	Lincoln"
"	Gaston",RN,,Active,"	Gaston"
"	Cleveland",RN,,Active,"	Cleveland,	Gaston,	Rutherford"
"	Pender","Other, please specify:",Retired rn willing to help with vaccinations and as able to administer shots and help as well as a pharmacy technician or other untrained person. ,Inactive,"	New Hanover,	Onslow,	Pender"
"	Granville",RN,,Active,"	Granville"
"	Orange",RN,,Active,"	Orange"
"	Catawba",RN,,Active,"	Catawba"
"	Iredell",LPN,,Active,"	Alexander,	Iredell"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Mecklenburg"
"	Wake","Other, please specify:","Doing home hemodialysis at the home of a family member. M, W, F, Sat",Active,"	Johnston,	Wake"
"	Durham",RN,,Active,"	Chatham,	Durham,	Orange,	Wake"
"	Wake",RN,,Active,"	Brunswick,	Wake"
"	Buncombe",RN,,Active,"	Buncombe,	Haywood,	Henderson,	Jackson,	McDowell,	Transylvania"
"	Graham",RN,,Active,"	Graham,	Haywood,	Jackson,	Swain"
"	Buncombe",Retired,,Active,"	Buncombe,	Henderson"
"	Buncombe",Retired,,Active,"	Buncombe,	Henderson"
"	Wake",RN,,Active,"	Wake"
"	Wake",Retired,,,"	Durham,	Northampton,	Wake"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Mecklenburg,	Union"
"	Guilford","Other, please specify:",Licensed RN in NC,Active,"Alamance,	Guilford"
"	Wake",LPN,,Active,"	Durham,	Franklin,	Orange,	Wake"
"	Durham",RN,,Active,"Alamance,	Chatham,	Durham,	Granville,	Guilford,	Orange,	Person,	Vance,	Wake"
"	Granville",LPN,,Active,"	Granville,	Vance"
"	Wake",NP,,Active,"	Johnston,	Wake"
"	Buncombe",RN,,Active,"	Buncombe,	Madison"
"	Rutherford",RN,,Active,"	Cleveland,	Rutherford"
"	Lincoln",RN,,Active,"	Lincoln,	Mecklenburg"
"	Cabarrus",RN,,Active,"	Cabarrus"
"	Wake",RN,,Active,"	Wake"
"	Cumberland",Retired,,Inactive,"	Cumberland"
"	Forsyth",RN,,Active,"	Forsyth,	Yadkin"
"	Wake",LPN,,Active,"	Harnett,	Johnston,	Wake"
"	Orange",RN,,Active,"	Durham,	Orange,	Wake"
"	Forsyth",RN,,Active,"	Davie,	Forsyth,	Yadkin"
"	Wake",RN,,Active,"	Wake"
"	Surry",RN,,Active,"	Stokes,	Surry"
"	Catawba","Other, please specify:","MSN, RN",Active,"	Alexander,	Avery,	Burke,	Caldwell,	Catawba,	Lincoln,	McDowell,	Mitchell,	Watauga,	Yancey"
"	Durham",LPN,,Active,"	Durham,	Orange"
"	Cabarrus",RN,,Active,"	Cabarrus,	Davidson,	Iredell,	Rowan"
"	Onslow",Retired,,Inactive,"	Onslow"
"	Durham",NP,,Active,"Alamance,	Durham,	Johnston,	Orange,	Person,	Vance"
"	Nash",RN,,Active,"	Edgecombe,	Nash,	Wilson"
"	Forsyth",LPN,,Active,"	Forsyth"
"	Surry",RN,,Active,"	Stokes,	Surry"
"	Chatham",RN,,Active,"	Chatham"
"	Rowan",RN,,Active,"	Cabarrus,	Davidson,	Davie,	Forsyth,	Iredell,	Rowan"
"	Craven",RN,,Active,"	Craven"
"	Mecklenburg",NP,,Active,"	Mecklenburg"
"	Gates",RN,,Active,"	Bertie,	Camden,	Chowan,	Currituck,	Edgecombe,	Gates,	Hertford,	Martin,	Perquimans"
"	Pitt",Retired,,Active,"	Beaufort,	Lenoir,	Pitt"
"	Guilford",RN,,Active,"Alamance,	Caswell,	Chatham,	Durham,	Guilford,	Orange,	Randolph,	Rockingham,	Wake"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Mecklenburg"
"	Wake",RN,,Active,"	Wake"
"	Johnston",RN,,Active,"	Johnston,	Wake"
"	New Hanover",RN,,Active,"	New Hanover"
"	Burke",RN,,Active,"	Alexander,	Burke,	Catawba,	Lenoir"
"	Wake",RN,,Active,"Alamance,	Durham,	Wake"
"	Catawba",LPN,,Active,"	Catawba"
"	Wake",RN,,Active,"	Carteret,	Durham,	Orange,	Wake"
"	Union",RN,,Active,"	Anson,	Union"
"	Gaston",RN,,Active,"	Cleveland,	Gaston,	Mecklenburg"
"	Wake",RN,,Active,"	Wake"
"	Randolph",LPN,,Active,"	Bertie,	Buncombe,	Chatham,	Davidson,	Forsyth,	Guilford,	Pitt,	Randolph"
"	Buncombe",RN,,Active,"	Buncombe"
"	Davidson",NP,,Active,"	Davidson,	Davie,	Forsyth"
"	Johnston",RN,,Active,"	Brunswick,	Harnett,	Johnston,	Pitt,	Sampson"
"	Franklin",RN,,Active,"	Franklin"
"	Gaston",RN,,Active,"	Gaston,	Mecklenburg"
"	Wake",RN,,Active,"	Wake"
"	Wake",RN,,Active,"	Chatham,	Franklin,	Granville,	Harnett,	Johnston,	Lee,	Nash,	Orange,	Wake"
"	Durham",LPN,,Active,"	Durham,	Orange"
"	Wake",RN,,Active,"	Chatham,	Wake"
"	Randolph",NP,,Active,"	Guilford,	Randolph"
"	Wake",RN,,Active,"	Durham,	Harnett,	Johnston,	Wake"
"	Buncombe","Other, please specify:",CRNA,Active,"	Buncombe,	Henderson"
"	Johnston",RN,,Active,"	Durham,	Johnston,	Wake"
"	Johnston",RN,,Active,"	Durham,	Johnston,	Wake"
"	Wake","Other, please specify:",retired RN,Inactive,"	Granville,	Mecklenburg,	Vance,	Wake"
"	Davidson",RN,,Active,"	Davidson,	Forsyth"
"	Wake",Retired,,Active,"Alamance,	Durham,	Johnston,	Orange,	Wake"
"	Buncombe",RN,,Active,"	Buncombe"
"	Buncombe",RN,,Active,"	Buncombe"
"	Catawba",RN,,Active,"	Catawba,	Iredell,	Lincoln"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Wake",RN,,Active,"	Durham,	Johnston,	Orange,	Wake"
"	Lenoir",Retired,,Active,"	Carteret,	Craven,	Duplin,	Greene,	Lenoir,	Pitt,	Washington,	Wayne"
"	Rockingham",LPN,,Active,"	Rockingham"
"	Forsyth",RN,,Active,"	Davidson,	Davie,	Forsyth,	Yadkin"
"	Guilford",RN,,,"	Davidson,	Forsyth,	Guilford,	Montgomery,	Randolph,	Stokes"
"	Transylvania",RN,,Active,"	Transylvania"
"	Wake",RN,,Active,"	Durham,	Franklin,	Harnett,	Johnston,	Orange,	Wake"
"	Guilford",RN,,Inactive,"	Guilford"
"	Wake",RN,,Active,"Alamance,	Bertie,	Brunswick,	Caldwell,	Caswell,	Chatham,	Davidson,	Durham,	Forsyth,	Franklin,	Granville,	Guilford,	Halifax,	Harnett,	Henderson,	Johnston,	Lee,	Lenoir,	Martin,	Orange,	Randolph,	Rockingham,	Scotland,	Vance,	Wake,	Warren,	Washington,	Wayne,	Wilkes,	Wilson"
"	Buncombe",RN,,Active,"	Buncombe,	Madison"
"	Wake",RN,,Active,"	Durham,	Orange,	Wake"
"	Orange",RN,,Active,"Alamance,	Chatham,	Durham,	Orange,	Wake"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Mecklenburg",Retired,,Inactive,"	Mecklenburg,	Union"
"	Wake",RN,,Active,"	Durham,	Johnston,	Wake"
"	Catawba",LPN,,Active,"	Alexander,	Burke,	Catawba,	Gaston,	Lincoln"
"	Rowan",RN,,Active,"	Cabarrus,	Mecklenburg,	Rowan,	Union"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Harnett",RN,,Active,"	Harnett"
"	Cumberland",LPN,,Active,"	Cumberland,	Johnston,	Robeson"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Mecklenburg"
