primary_county,credentials,credentials-other,license,volunteer_county
"	Moore",RN,,Inactive,"	Anson,	Chatham,	Cumberland,	Durham,	Harnett,	Hoke,	Lee,	Moore,	Richmond,	Rockingham,	Wake"
"	Anson",RN,,Active,"	Anson"
"	Burke",RN,,Active,"	Burke"
"	Forsyth",RN,,Active,"	Davidson,	Forsyth,	Guilford"
"	Randolph",NP,,Active,"	Davidson,	Guilford,	Randolph"
"	Forsyth",NP,,Active,"	Forsyth,	Surry,	Yadkin"
"	Durham",NP,,Inactive,"	Durham,	Wake"
"	Durham",NP,,Inactive,"	Durham,	Wake"
"	Orange",NP,,Active,"	Orange"
"	Cumberland",RN,,Active,"	Cumberland"
"	Orange",NP,,Active,"Alamance,	Durham,	Orange,	Tyrrell,	Washington"
"	Buncombe",RN,,Active,"	Buncombe,	Henderson"
"	Wake",Retired,,Active,"	Durham,	Person,	Wake,	Wilson"
"	Caldwell",RN,,Active,"	Burke,	Caldwell,	Catawba,	McDowell"
"	Wake",RN,,,"	Chatham,	Durham,	Person,	Wake"
"	Catawba",RN,,Active,"	Burke,	Catawba,	Forsyth"
"	Rutherford",RN,,Active,"	Buncombe,	Henderson,	McDowell,	Polk,	Rutherford"
"	Buncombe",RN,,Active,"	Buncombe,	Haywood,	Henderson,	Transylvania"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Duplin",RN,,Active,"	Duplin,	Gaston,	Lenoir,	Onslow,	Sampson,	Wayne"
"	Wake",,,Active,"	Chatham,	Wake"
"	Chatham",RN,,Active,"	Chatham,	Orange"
"	Guilford",RN,,Active,"Alamance,	Forsyth,	Guilford"
"	Cabarrus",RN,,Active,"	Cabarrus,	Mecklenburg"
"	Brunswick",RN,,Active,"	Brunswick,	New Hanover,	Pender"
"	Johnston",NP,,Active,"	Johnston,	Wayne,	Wilson"
"	Durham",NP,,Active,"Alamance,	Caswell,	Chatham,	Durham,	Graham,	Granville,	Guilford,	Orange,	Wake"
"	New Hanover",NP,,Active,"	Brunswick,	New Hanover"
"	Wake",RN,,Active,"	Bladen,	Durham,	Granville,	Johnston,	Wake"
"	Durham",NP,,Active,"Alamance,	Caswell,	Durham,	Gates,	Graham,	Henderson,	Orange,	Warren,	Wilson"
"	New Hanover",NP,,Active,"	New Hanover"
"	Rowan",RN,,Active,"	Cabarrus,	Rowan"
"	Buncombe",NP,,Active,"	Buncombe,	Henderson,	Madison"
"	Wake",RN,,Active,"	Durham,	Franklin,	Graham,	Wake"
"	Brunswick","Other, please specify:",PhD RNC,Active,"	Brunswick,	New Hanover"
"	Iredell",RN,,Active,"	Alexander,	Catawba,	Forsyth,	Iredell,	Rowan,	Wilkes,	Yadkin"
"	Mecklenburg",Retired,,,"	Mecklenburg"
"	New Hanover",RN,,Active,"	New Hanover"
"	Chatham",RN,,Active,"	Chatham,	Durham,	Orange,	Wake"
"	Mecklenburg",RN,,Active,"	Mecklenburg,	Union"
"	Gaston",RN,,Active,"	Gaston"
"	Wake",RN,,Active,"	Chatham,	Durham,	Johnston,	Orange,	Wake"
"	Wake",RN,,Active,"	Wake"
"	Burke",RN,,Active,"	Burke,	Catawba,	McDowell"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Mecklenburg"
Yancey,"Other, please specify:","Retired RN,  emergency reinstatement ",Active,"	Buncombe,	McDowell,	Mitchell,	Yancey"
"	Cumberland",RN,,Active,"	Bladen,	Cumberland,	Harnett,	Hoke,	Moore"
"	Cabarrus",RN,,Active,"	Cabarrus,	Mecklenburg,	Stanly"
"	Wayne",RN,,Active,"	Wayne"
"	Wake",Retired,,Active,"	Durham,	Johnston,	Orange,	Wake"
"	Buncombe",RN,,Active,"	Buncombe,	Henderson,	Madison"
"	Forsyth",RN,,Active,"	Forsyth,	Guilford"
Alamance,Retired,,Inactive,Alamance
"	Anson",NP,,Active,"	Anson,	Montgomery,	Moore,	Richmond,	Scotland,	Stanly,	Union"
"	Wake",RN,,Active,"	Durham,	Franklin,	Orange,	Wake"
"	Stokes",RN,,Active,"	Rockingham,	Stokes"
"	New Hanover",NP,,Active,"	Brunswick,	New Hanover,	Pender"
"	Wake",NP,,Active,"	Wake"
"	Wake",NP,,Active,"	Durham,	Edgecombe,	Johnston,	Lenoir,	Nash,	Orange,	Wake"
"	New Hanover",NP,,Active,"	Brunswick,	New Hanover,	Pender"
"	Moore",NP,,Active,"	Moore"
"	Wake",RN,,Active,"	Wake"
"	Wake",RN,,Active,"	Wake"
"	Wayne",RN,,Active,"	Johnston,	Wayne"
"	Buncombe",RN,,Active,"	Buncombe,	Henderson,	Madison"
"	Chatham",RN,,Active,"	Chatham"
"	Montgomery",RN,,Active,"	Montgomery,	Moore,	Randolph,	Stanly"
"	Chatham",NP,,Active,"Alamance,	Chatham,	Lee,	Orange,	Randolph"
"	Henderson",RN,,Active,"	Buncombe,	Henderson,	Transylvania"
"	Wake",RN,,Active,"	Johnston,	Wake"
"	Pitt",RN,,Active,"	Beaufort,	Lenoir,	Pitt"
"	Durham",NP,,Active,"	Chatham,	Durham,	Granville,	Orange,	Person"
"	Wake",RN,,Active,"	Franklin,	Wake"
"	Harnett",NP,,Active,"	Harnett,	Lee"
"	Transylvania",RN,,Active,"	Transylvania"
"	New Hanover",RN,,Active,"	New Hanover"
"	Mecklenburg",Retired,,Active,"	Cabarrus,	Iredell,	Mecklenburg"
"	Onslow",RN,,Active,"Alamance,	Durham,	Orange,	Wake"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Iredell,	Lincoln,	Mecklenburg"
"	Onslow",RN,,Active,"	Onslow"
"	Orange",RN,,Active,"Alamance,	Chatham,	Durham,	Orange,	Person"
"	Wake","Other, please specify:",Retired CRNA,Active,"	Brunswick,	Wake"
"	Wake",RN,,Active,"	Durham,	Orange,	Wake"
"	Buncombe",NP,,Active,"	Buncombe,	Chatham,	Orange"
"	Guilford",NP,,Active,"	Guilford"
"	Union",NP,,Active,"	Anson,	Mecklenburg,	Union"
"	Wake",RN,,Active,"	Wake"
"	Dare",RN,,Active,"	Currituck,	Dare"
"	Guilford","Other, please specify:","MSN, CRNA",Active,"	Guilford,	Rockingham"
"	Mecklenburg",RN,,Active,"	Gaston,	Iredell,	Mecklenburg,	Rowan"
"	Davidson","Other, please specify:","RN, MSN, BSN",Active,"	Davidson,	Davie,	Forsyth,	Randolph,	Stokes"
"	Wake",RN,,Active,"	Orange,	Wake"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Guilford,	Mecklenburg,	Rockingham,	Union"
"	Cabarrus",RN,,Active,"	Cabarrus"
"	Harnett",RN,,Active,"	Harnett,	Lee"
"	Martin",RN,,Active,"	Martin,	Tyrrell,	Washington"
"	Orange",Retired,,Inactive,"	Chatham,	Durham,	Orange"
"	Henderson",RN,,Active,"	Henderson"
"	Catawba",RN,,Active,"	Alexander,	Burke,	Caldwell,	Catawba,	Gaston,	Iredell,	Lincoln"
"	Iredell",RN,,Active,"	Cabarrus,	Iredell,	Mecklenburg,	Rowan"
"	Franklin",NP,,Active,"	Franklin,	Wake"
"	Transylvania",Retired,,Inactive,"	Transylvania"
"	Wake",RN,,Active,"	Wake"
"	Wake",RN,,Active,"	Franklin,	Granville,	Wake"
"	Dare",RN,,Active,"	Dare"
"	Gaston",,,Active,"	Cleveland,	Gaston,	Lincoln,	Mecklenburg"
"	Buncombe","Other, please specify:","active in Ohio, waiting for credentialing in NC",Active,"	Buncombe,	Haywood,	Henderson,	McDowell,	Madison,	Rutherford,	Yancey"
"	Guilford",RN,,Active,"Alamance,	Davidson,	Forsyth,	Yancey"
"	Wake",Retired,,Active,"	Chatham,	Wake"
"	Wake",RN,,Active,"	Franklin,	Wake"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Orange",NP,,Active,"	Orange"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Alexander",NP,,Active,"	Alexander,	Ashe,	Burke,	Caldwell,	Catawba,	Iredell,	Wilkes"
"	Carteret",RN,,Active,"	Carteret"
"	Transylvania",RN,,Active,"	Haywood,	Henderson,	Jackson,	Transylvania"
"	Wake",NP,,Active,"	Wake"
"	Chatham",RN,,Active,"	Chatham,	Orange"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Durham",NP,,Active,"Alamance,	Chatham,	Durham,	Orange"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Mecklenburg",RN,,Active,"	Gaston,	Mecklenburg,	Union"
"	Gaston",RN,,Active,"	Gaston,	Lincoln"
"	Person",RN,,Active,"	Durham,	Person"
"	Brunswick",RN,,Active,"	Brunswick,	New Hanover"
"	Wake",RN,,Active,"	Durham,	Johnston,	Orange,	Wake"
"	Mecklenburg",RN,,,"	Mecklenburg"
"	Wake",RN,,Active,"	Wake"
"	Cabarrus",RN,,Active,"	Cabarrus,	Mecklenburg,	Rowan,	Stanly,	Union"
"	Catawba",RN,,Active,"	Alexander,	Burke,	Caldwell"
"	Orange",RN,,Active,"Alamance,	Chatham,	Durham,	Orange"
"	Cumberland",RN,,Active,"	Bladen,	Cumberland,	Harnett,	Sampson"
"	Orange",RN,,Active,"Alamance,	Durham,	Gaston,	Orange"
"	Mecklenburg",RN,,Active,"	Catawba,	Cleveland,	Iredell,	Lincoln,	Rowan"
"	Wake",RN,,Active,"	Wake"
"	Lincoln",RN,,Active,"	Caldwell,	Lincoln,	Wilkes"
"	Mecklenburg",NP,,Active,"	Cabarrus,	Mecklenburg"
"	Wake",RN,,Active,"	Wake"
"	Brunswick",RN,,Active,"	Brunswick"
"	Mecklenburg",Retired,,Inactive,"	Mecklenburg,	Union"
"	Forsyth",RN,,Active,"	Forsyth"
"	Moore",RN,,Active,"	Hoke,	Lee,	Moore,	Scotland"
"	Catawba",RN,,Active,"	Catawba"
"	Guilford",RN,,Active,"	Forsyth,	Guilford,	Surry"
"	Warren",RN,,Active,"	Franklin,	Granville,	Halifax,	Nash,	Vance,	Wake,	Warren"
"	Rowan",RN,,Active,"	Cabarrus,	Davidson,	Davie,	Rowan,	Stanly"
"	Mecklenburg",NP,,Active,"	Mecklenburg"
"	Cabarrus",NP,,Active,"	Cabarrus,	Mecklenburg"
"	Buncombe","Other, please specify:",Retired RN,Inactive,"	Buncombe"
"	Alexander",RN,,,"	Alexander,	Caldwell,	Catawba"
"	Bertie",RN,,Active,"	Bertie,	Chowan,	Hertford,	Tyrrell"
"	Wake",Retired,,Active,"	Wake"
"	Forsyth",RN,,Active,"	Forsyth,	Guilford"
"	Guilford",RN,,Active,"Alamance,	Guilford"
"	Chatham",RN,,Active,"	Chatham,	Orange"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Cleveland",RN,,Active,"	Cleveland"
"	Chatham",RN,,Active,"	Chatham,	Orange"
"	Stokes",RN,,Active,"	Stokes"
"	Cumberland",RN,,Active,"	Cumberland,	Robeson"
"	Cumberland",RN,,Active,"	Cumberland,	Hoke"
"	Wake",RN,,Active,"	Chatham,	Franklin,	Granville,	Harnett,	Johnston,	Lee,	Orange,	Pasquotank,	Perquimans,	Pitt,	Wake,	Wilson"
"	Pender",RN,,Active,"	Pender"
"	Gaston",RN,,Active,"	Gaston,	Mecklenburg"
"	Jackson",NP,,Active,"	Buncombe,	Cherokee,	Graham,	Haywood,	Henderson,	Jackson,	Macon,	Swain"
"	Guilford","Other, please specify:","RN, CNM",Active,"	Guilford"
"	Durham",RN,,Active,"	Durham,	Orange"
"	Buncombe",NP,,Active,"	Buncombe,	Haywood,	Henderson,	Jackson,	McDowell,	Madison"
"	Durham","Other, please specify:",CRNA,Active,"	Durham,	Franklin,	Wake"
"	New Hanover",RN,,Active,"	New Hanover"
"	Union",RN,,Active,"	Union"
"	Gaston",RN,,Active,"	Cleveland,	Gaston,	Lincoln"
"	Avery",RN,,Active,"	Avery,	Chatham,	Orange,	Watauga"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Iredell,	Mecklenburg"
"	Wake",RN,,Active,"	Durham,	Franklin,	Wake"
