asked_volunteer,volunteer_county,complete_volunteer,completed_county,employed,employed_nursing
Yes,,No,,Yes,Yes – full time
Yes,,Yes,"	Jones",No,
No,"	Durham,	Orange",,,No,
No,"	Carteret,	Johnston,	Lenoir,	Wayne",,,No,
No,"	Chatham,	Durham,	Granville,	Orange,	Person",,,Yes,Yes – full time
No,"	Iredell,	Lincoln,	Mecklenburg,	Stanly",,,No,
,,,,Yes,Yes – full time
No,"	Craven,	Pitt",,,No,
No,"Alamance,	Beaufort,	Franklin,	Granville,	Nash,	Person,	Vance,	Wake,	Warren",,,Yes,No
No,"	Davidson,	Rowan,	Stanly",,,Yes,Yes – full time
No,"	Stokes,	Surry,	Wilkes,	Yadkin",,,No,
Yes,,No,,Yes,Yes – full time
No,"	Buncombe",,,No,
No,"	Durham,	Wake",,,Yes,Yes – full time
No,"	Brunswick,	Columbus,	New Hanover,	Onslow,	Pender",,,Yes,Yes – part time
Yes,,No,,,
No,"	Brunswick,	New Hanover",,,No,
No,"	Wilson",,,Yes,Yes – full time
No,"	Cabarrus,	Gaston,	Iredell,	Rowan",,,Yes,Yes – part time
No,"	Pitt",,,Yes,Yes – part time
Yes,,No,,No,
No,"	Gaston,	Mecklenburg,	Union",,,Yes,Yes – full time
Yes,,Yes,"	Brunswick",No,
No,"	Granville,	Vance",,,Yes,Yes – part time
No,"	Brunswick,	Randolph",,,Yes,Yes – full time
No,"	Brunswick,	New Hanover",,,Yes,
No,"	Bladen,	Columbus,	Robeson",,,Yes,
Yes,,Yes,"	Dare",Yes,Yes – part time
No,,,,,
No,,,,,
Yes,,Yes,"	Cabarrus",No,
Yes,,Yes,"	Wake",,
No,"	Wake",,,No,
No,,,,,
No,,,,,
No,"Alexander,	Burke,	Catawba,	Iredell,	Lincoln",,,Yes,Yes – full time
